Source,JN Criteria
breitbart.com,"RB, S, Cr, P"
thegatewaypundit.com,"RB, S, Cr, P"
libertyheadlines.com,"RB, S, Cr"
theblacksphere.net,"RB, CR, S, P"
dailywire.com,"RB, S, Cr"
thefederalist.com,"RB, S, Cr"
rawstory.com,"LB, Cr, P"
thedailydigest.org,"CR, CT, RB, P"
lifenews.com,"RB, S, Cr, P"
infowars.com,"RB, S, Cr, P"
dailycaller.com,"RB, S, P"
zerohedge.com,"CR, P, S"
barenakedislam.com,"RB, S, Cr, P"
pjmedia.com,"P, CT, CR"
americanthinker.com,"RB, S, Cr, Ct"
newrightnetwork.com,"CT, S, RB"
gellerreport.com,"RB, S, Cr, Ct"
davidharrisjr.com,"RB, S, P"
theoldschoolpatriot.com,"S, RB, Cr"
100percentfedup.com,"RB, S, Cr, P"
committedconservative.com,"RB, S, Cr, P"
truthfeednews.com,"P, CT, CR, RB"
michaelsavage.com,"RB, S, Cr"
bigleaguepolitics.com,"RB, S, Cr"
cnsnews.com,"RB, S, Cr, P"
truepundit.com,"RB, S, P"
thepoliticalinsider.com,"P, CR, CT, RB"
hotair.com,"RB, S, Cr"
lifezette.com,"RB, S, Cr, P"
canadafreepress.com,"RB, S, Cr, P"
shareblue.com,"LB, P, CT"
wnd.com,"CT, RB, P"
bizpacreview.com,"RB, S, P"
rushlimbaugh.com,"RB, P, S"
theblaze.com,"P, RB, CT"
frontpagemag.com,"RB, S, Cr, P"
red-pilled.com,requires login
redstate.com,"RB, S, CT, P"
palmerreport.com,"LB, P, S"
chicksonright.com,"RB, S, Cr"
nworeport.me,"S, RB, P, CT"
en-volve.com,"RB, S, Cr"
magaoneradio.net,"RB, S, P, JN AGG "
twitchy.com,"S, RB, P"
naturalnews.com,"RB, S, Cr, P"
westernfreepress.com,"P, S, RB"
legalinsurrection.com,"RB, S, P, Ct"
conservativedailypost.com,"RB, S, Cr, P"
therightscoop.com,"RB, S, P"
conspiracydailyupdate.com,"Cr, S, JN AGG"
