Language Sphere,Hashtags
English,#EUElections2019
English,#EuElections
English,#thistimeimvoting
English,#futureofeurope
English,#voteforeurope
English,#euvote2019
English,#ep2019
English,#eu2019
English,#EuropeVotes
English,#voteeurope
English,#ElectionsUE
English,#EuropeanParliamentElections
French,#ElectionsEuropeennes2019 
French,#ElectionsEurope 
French,#Europeenes2019 
French,#ParlementEuropeen
French,#Europeen2019 
French,#Europeennes2019 
French,#Europeennes
French,#cettefoisjevote
German,#euwahl
German,#euwahl19
German,#euwahl2019
German,#europawahl
German,#europawahl19
German,#europawahl2019
German,#ep2019
German,#europaparlement
Italian,#elezionieuropee
Italian,#Europee2019
Italian,#europee
Italian,#stavoltavoto
Italian,#ElezioniEuropee2019
Italian,#26maggio
Italian,#facciamoEUROPA
Italian,#europeista
Italian,#europedirectitalia
Italian,#elezioniue2019
Italian,#primaveraeuropa
Polish,#eurowybory
Polish,#eurowybory2019
Polish,#wyboryeuropejskie
Polish,#PE2019
Polish,#ParlamentEuropejski
Polish,#wybory2019
Polish,#wybory26maja
Polish,#26maja
Polish,#wyboryeuropejskie
Polish,#wyborydoparlamentueuropejskiego
Polish,#PolskaSercemEuropy
Spanish/Catalan,#eleccionesUE2019
Spanish/Catalan,#EstaVezVoto
Spanish/Catalan,#26M
Spanish/Catalan,#26mayo
Spanish/Catalan,#ueelections2019
Spanish/Catalan,#EleccionesEuropeas
Spanish/Catalan,#futurodeeuropa
Spanish/Catalan,#elecciones2019
Spanish/Catalan,#pe2019
Spanish/Catalan,#galiciavotanaue
Spanish/Catalan,#parlamentoeuropeo
Spanish/Catalan,#eleccionsue2019
Spanish/Catalan,#26maig
Spanish/Catalan,#aquestavegadavoto
Spanish/Catalan,#eleccionseuropees
Spanish/Catalan,#futureuropa
Swedish,#euval
Swedish,#epval
Swedish,#euvalet
Swedish,#euval2019
Swedish,#val2019
Swedish,#europavalet
Swedish,#europaparlamentet
Swedish,#denhärgångenröstarjag
Swedish,#eupol
Swedish,#eppol
