Language_sphere,Source,JN Criteria
de,compact-online.de,"Credibility, Style, Bias, Counterfeit"
de,deutsche-stimme.de,"Credibility, Style, Bias, Counterfeit"
de,deutschland-kurier.org,"Credibility, Style, Bias"
de,journalistenwatch.com,"Credibility, Style, Bias, Counterfeit, Professionalism"
de,jungefreiheit.de,"Credibility, Style, Bias"
de,kopp-report.de,"Credibility, Style, Bias, Counterfeit"
de,mmnews.de,"Cedibility, Style, Bias, Counterfeit"
de,philosophia-perennis.com,"Credibility, Bias, Professionalism, Style"
de,pi-news.net,"Cedibility, Style, Bias, Counterfeit"
de,tagesstimme.com,"Cedibility, Style, Bias, Counterfeit"
eng,breitbart.com,"Bias (Right Wing), Credibility, Style"
eng,defendevropa.com,"Bias, Professionalism, Credibility"
eng,v4report.com,"Bias (Right Wing), Counterfeit, Credibility, Style"
eng,gellerreport.com,"Bias, Credibility, Style"
eng,social-consciousness.com,"Credibility, Style, Professionalism"
eng,voiceofeurope.com,"Bias, Credibility, Counterfeit"
eng,zerohedge.com,"Bias, Credibility, Counterfeit"
es,diarioalcazar.com,"Professionalism, Style, Credibility, Bias (Right Wing)"
es,diariopatriota.com,"Style, Credibility, Bias (Right Wing)"
es,dondiario.com,"Language, Bias (Right Wing), Emotionally driven, Style, Credibility"
es,elcorreodemadrid.com,"Professionalism, Style, Credibility, Bias"
es,eldiestro.es,"Credibility, Style, Language, Bias (Right Wing)"
es,elmunicipio.es,"Professionalism, Style, Credibility, Bias (Right Wing)"
es,lapaseata.net,"Professionalism, Bias (Right Wing), Credibility, Style"
es,latribunadeespana.com,"Professionalism, Style, Credibility, Bias"
es,mediterraneodigital.com,"Language, Bias (Right Wing), Credibility, Style"
es,periodistadigital.com,"Bias (Right Wing), Credibility, Professionalism"
es,mag24.es,"Professionalism, Style, Credibility"
fr,breizh-info.com,"Professionalism, Style, Credibility, Bias"
fr,bvoltaire.fr,"Style, Bias (Right Wing), Credibility"
fr,damocles.co,"Professionalism, Credibility, Bias, Counterfeit"
fr,fdesouche.com,"Credibility, Professionalism, Bias (Right Wing)"
fr,lengadoc-info.com,"Professionalism, Credibility, Bias (Right Wing)"
fr,polemia.com,"Credibility, Professionalism, Bias (Right Wing)"
fr,tvlibertes.com,"Credibility, Bias, Style"
it,agenpress.it,"Style, Credibility, Bias"
it,ilmetropolitano.it,"Style, Professionalism, Credibility"
it,ilprimatonazionale.it,"Bias (Right Wing), Credibility, Style"
it,impaginato.it,"Credibility, Style, Professionalism"
it,infosannio.wordpress.com,"Professionalism, Style, Credibility"
it,la-notizia.net,"Style, Credibility, Bias"
it,lettoquotidiano.it,"Style, Professionalism, Credibility"
it,lindipendenzanuova.com,"Bias, Professionalism, Style, Credibility"
it,notizieprovita.it,"Bias (Right Wing), Professionalism, Credibility"
it,ravennawebtv.it,"Style, Professionalism, Credibility"
it,scenarieconomici.it,"Professionalism, Style, Credibility, Bias (Right Wing)"
it,varesepress.info,"Professionalism, Counterfeit, Style, Credibility"
it,zazoom.it,"Bias (Right Wing), Professionalism, Credibility"
pl,centrummedialne.pl,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,crowdmedia.pl,"Professionalism, Counterfeit, Anti-gov Bias, Credibility"
pl,dlapolski.pl,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,kontrowersje.net,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,medianarodowe.com,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,nczas.com,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,niezalezna.pl,"Style, Bias (Right Wing), Credibility"
pl,pikio.pl,"Professionalism, Credibility, Style, Counterfeit"
pl,publiszer.pl,"Professionalism, Credibility, Style"
pl,rozmowy.eu,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,telewizjarepublika.pl,"Credibility, Style, Bias (Right Wing) "
pl,wpolityce.pl,"Credibility, Bias (Right Wing), Style"
pl,wprawo.pl,"Professionalism, Credibility, Style, Bias (Right Wing)"
pl,wsensie.pl,"Credibility, Style, Bias (Right Wing), Professionalism"
sv,nyadagbladet.se,"Style, Bias (Right Wing), Credibility "
sv,nyheteridag.se,"Style, Bias (Right Wing), Counterfeit "
sv,opednews.com,"Credibility, Bias (Right Wing), Counterfeit"
sv,samnytt.se,"Style, Bias (Right Wing), Credibility, Counterfeit"
sv,svegot.se,"Style, Bias (Right Wing), Credibility, Counterfeit"
sv,friatider.se,"Counterfeit, Style, Bias"
